TroubleTicketing_4-Feb-2026_12-43-47 Ticket Id,Site Id,Site Name,Dependent Sites,Site Class,Site Class Code,Anchor Opco Site id,Power Model,Region,District,Power Vendor,Site Area Type,Vendor,Operator Parameter,Operator Exempted,Alarm Description,Equipment,Alarm Start Date Time,Alarm End Date Time,Problem Start Date,Problem End Date,Ticket Log Date,Logged By,Operator,Ticket Closure Date,Assigned To,Ticket Hierarchy,Digitally Dispatch,Contact No.,Assigned Date,Closed By,Total Duration,Duration,Operator SLA,Vendor SLA,SLA Remaining Time Operator,SLA Remaining Time Vendor,Alarm Status,Ticket Treatment,Ticket Status,Severity,Current Level,ETA (Mins.),ETA Time,ETR (Mins.),ETR Time,RCA Category,RCA Sub Category,RCA,Ref Ticket ID,Remarks,Alarm Detail,Problem Description,Ticket Type,Ticket Mode,Total Effected Duration,Effected Sites,Battery Discharge Start Date Time,Spare Parts,Battery Backup Duration,DG Night Time Restriction (HH:MM),Site Latitude,Site Longitude,User Lat,User Long,Distance (Kms.),DG Meter Reading,Grid Meter Reading,Fuel Level,Action Taken,Service Type,Parent Ticket Id,Refer Count,Hub Site Id,Child Ticket Count,PR No,Abstract,Service Impacted,Service Impact Start,Services Affected,Initial Analysis,X-References,TwoG Node,ThreeG Node,LTE,IP Site,Originator Id,Originator Group,Last Referred Group,Reffered to Group,RTTS Clear Group,Action,Status Reason,RTTS Opr Site Id,Fault Area,Fault Area Detail,Resolution Method,Node,Network,Site Location,Solution Details,Restoration Approval Time,Restoration Time,Approval Time,Approval Resolve Time,NET Resolution Time,Severity Change Time,Generator Asset Id,Priority,Delay Reason,TT Response Time,undefined,undefined,undefined,Hub Time(HH:MM),RTTS Ticket Create Date,Severity Change Remarks
"TT00709269","1000642","ZBG007","ST(PG)","Remote","Golden","ZBG007","Grid","South","Asir","Nokia-PV","SubUrban","Ericsson","","","Door Alarm","General","03-Jul-2021 02:55:02","","03-Jul-2021 02:55","","21-Jan-2026 16:34:41","System","STC","","TWL-EM-SOUTH Hamada Sobhy Mohamed Habib","Parent","","537712218","21-Jan-2026 16:34:41","","1677 Day(s) 09:49:59","40258","STC-No      ","No","-1677 Day(s) 02:49:58      ","-1677 Day(s) 02:49:58","Closed","Standard","Assign","Critical","Third Escalation","","","","","","","","","","Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm","","Incident","Auto","1677 Day(s) 09:49:59","1","","","","","18.95431","41.94457","","","","","","","","Remote","","1","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709388","1000905","ZJZ297","ST(PG)","Remote","Classic","ZJZ297","Grid","South","Jizan","Ericsson-PV","Rural","Huawei","STC","","Acu Fault (Itc)","General","","","23-Jan-2026 14:17","23-Jan-2026 14:19","23-Jan-2026 14:17:28","Super Admin  - 9898976789(superadmin)","STC","","3rd Escalation ","Parent","","","23-Jan-2026 14:17:28","","00:02:18","0","STC-Yes      ","Yes","06:57:42      ","06:57:42","","Standard","Resolved","Critical","Assignment","10","23-Jan-2026 14:18:05","30","23-Jan-2026 14:18:05","Access-Module/Cable","GE/FE-Module/cable Faulty","Test","","Resolved","","","Incident","Manual","00:02:18","1","","","","","17.41563","42.98187","","","","value","value","value","Action Taken","Remote","","1","","","","","Outage","23-Jan-2026 14:15","","","","","","","","","","","","","","","","Access PtMP","AP has gone down(Sector is down)","Cable damaged by Fire","","","","","","","","","00:02","","","P0","","","","","","00.03","","",
"TT00709410","1000001","Rubeen Plaza","ST(2DG)","Unknown","Classic","100001STC","Dual Generator","Central","Riyadh City","Huawei-PV","Unknown","In-House","STC","","Battery","Solar","25-Jan-2026 18:05:00","","25-Jan-2026 18:05","","25-Jan-2026 18:05:09","Super Admin  - 9898976789(superadmin)","STC","","TWL-EM-CENTER ","Parent","","","25-Jan-2026 18:05:12","","9 Day(s) 18:40:00","235","-      ","","      ","","Open","Standard","Assign","Critical","First Escalation","","","","","","","","","","testing","","Incident","Manual","9 Day(s) 18:40:00","1","","","","","24.7524","46.6255","","","","","","","","Metro","","1","","1","","","Degraded","25-Jan-2026 13:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","25-Jan-2026 18:09:27","","P0","","","","","","","","Severity changed from High to Critical due to Parent-Child relationship  of TT00709409 as child. ",
"TT00709414","1000124","ZRH703","ST,SM,ZN,MB(PG)","Unknown,Metro","Silver","ZRH703","Grid","Central","Riyadh City","Ericsson-PV","Urban","Ericsson","Mobily,STC,Salam,Zain","","Acu Fault (Itc)","General","","","26-Jan-2026 17:42","","26-Jan-2026 17:42:45","Super Admin  - 9898976789(superadmin)","Mobily,STC,Salam,Zain","","3rd Escalation ","Parent","","","26-Jan-2026 17:42:45","","8 Day(s) 19:03:00","211","STC-No      ","No","-8 Day(s) 14:03:00      ","-8 Day(s) 14:03:00","","Standard","Assign","Critical","First Escalation","","","","","","","","","","","","Incident","Manual","8 Day(s) 19:03:00","1","","","","","24.791298","46.767596","","","","","","","","Metro","","1","","","","","Outage","26-Jan-2026 17:41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709609","1000002","Udhailiyah-GOSP12","ST(PG)","Metro,Remote","Classic","ZRY336","Hybrid","Central","Riyadh City","Ericsson-PV","Urban","Ericsson","STC","","Stc Rtts","AC Meter","","","30-Jan-2026 09:48","","30-Jan-2026 12:19:36","RTTS","STC","","TWL_South ","Parent","","","30-Jan-2026 12:19:36","","5 Day(s) 02:57:00","123","-      ","","      ","","","Standard","Referred","Low","Assignment","","","","","","","","","","","","RTTS Ticket","Integration","00:00:00","0","","","","","24.7202","46.6569","","","","","","","","Metro","","1","","","RTTS154","Tawal Test Ticket_011","Degraded","30-JAN-2026 09:48:02","FTTH","","","1","1","11","1","1001","112","Service Desk","TWL_SREriE&M","","","","ZRY336","","","","","MOBILE","","","","","","","","","","P1","","","","","","","11-Sep-2024 14:32:06","",
"TT00709670","1000002","Udhailiyah-GOSP12","ST(PG)","Remote,Metro","Classic","ZRY336","Hybrid","Central","Riyadh City","Ericsson-PV","Urban","Ericsson","STC","","Stc Rtts","AC Meter","","","23-May-2023 14:21","","02-Feb-2026 16:43:43","RTTS","STC","","TWL_South ","Parent","","","02-Feb-2026 16:43:43","","987 Day(s) 22:24:00","23710","-      ","","      ","","","Standard","Referred","Low","Assignment","","","","","","","","","","","","RTTS Ticket","Integration","00:00:00","0","","","","","24.7202","46.6569","","","","","","","","Metro","","1","","","RTTS922","Tawal Test Ticket_011","Degraded","23-MAY-2023 14:21:11","FTTH","","","1","1","11","1","1001","112","Service Desk","TWL_SREriE&M","","","","ZRY336","","","","","MOBILE","","","","","","","","","","P1","","","","","","","11-Sep-2024 14:32:06","",
"TT00709295","1011991","ZMK783","ST(PG)","Metro","Classic","ZMK783","Grid","West","Makkah","Nokia-PV","Urban","Ericsson","","","Door Alarm","General","03-Jul-2021 11:42:59","","03-Jul-2021 11:42","","21-Jan-2026 16:34:48","System","STC","","TWL-EM-WEST Jangeer BashaAnwar Basha","Parent","","6502501165","21-Jan-2026 16:34:48","","1677 Day(s) 01:02:02","40249","STC-No      ","No","-1676 Day(s) 20:02:01      ","-1676 Day(s) 20:02:01","Closed","Standard","Assign","Critical","Third Escalation","","","","","","","","","","Door Alarm,Door Alarm","","Incident","Auto","1677 Day(s) 01:02:02","1","","","","","21.43042","39.86211","","","","","","","","Metro","","1","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709318","1000642","ZBG007","ST(PG)","Remote","Golden","ZBG007","Grid","South","Asir","Nokia-PV","SubUrban","Ericsson","","","Door Alarm","General","03-Jul-2021 14:06:23","","03-Jul-2021 14:06","","21-Jan-2026 16:34:53","System","STC","","TWL-EM-SOUTH Hamada Sobhy Mohamed Habib","Parent","","537712218","21-Jan-2026 16:34:53","","1676 Day(s) 22:38:38","40247","STC-No      ","No","-1676 Day(s) 15:38:37      ","-1676 Day(s) 15:38:37","Closed","Standard","Assign","Critical","Third Escalation","","","","","","","","","","Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm","","Incident","Auto","1676 Day(s) 22:38:38","1","","","","","18.95431","41.94457","","","","","","","","Remote","","1","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709398","1000120","Z26005","ST","Remote","Classic","Z26005","Dual Generator","East","Ahsa","Huawei-PV","Rural","Ericsson","STC","","Acu Fault (Itc)","General","","","23-Jan-2026 17:05","","23-Jan-2026 17:05:29","Super Admin  - 9898976789(superadmin)","STC","","3rd Escalation ","Parent","","","23-Jan-2026 17:05:29","","11 Day(s) 19:40:01","284","STC-No      ","No","-11 Day(s) 12:40:00      ","-11 Day(s) 12:40:00","","Standard","Assign","Critical","Third Escalation","","","","","","","Test","","Resolved","","","Incident","Manual","11 Day(s) 19:40:01","1","","","","","24.953281","47.996422","","","","value","value","hh","Action Taken","Remote","","1","","","","","Outage","23-Jan-2026 17:03","","","","","","","","","","","","","","","","Access PtMP","AP has gone down(Sector is down)","Cable damaged by Fire","","","","","","","","","","","","P0","","","","","","","","",
"TT00709428","1000135","ZBR153","ST,ZN,MB,BR(PG)","Unknown,Metro","Classic","ZBR153","Grid","Central","Qassim","Ericsson-PV","Rural","In-House","Bravo,Mobily,STC,Zain","","Acu Fault (Itc)","General","","","27-Jan-2026 11:42","27-Jan-2026 11:44","27-Jan-2026 11:42:01","Super Admin  - 9898976789(superadmin)","Bravo,Mobily,STC,Zain","","3rd Escalation ","Parent","","","27-Jan-2026 11:42:01","","00:02:48","0","STC-Yes      ","Yes","04:57:12      ","04:57:12","","Standard","Resolved","Critical","Assignment","10","27-Jan-2026 11:43:19","30","27-Jan-2026 11:43:19","Access-Module/Cable","GE/FE-Module/cable Faulty","Test","","Resolved","","","Incident","Manual","00:02:48","1","","","","","26.02618","42.59135","","","","value","value","value","Action Taken","Metro","","1","","","","","Outage","27-Jan-2026 11:40","","","","","","","","","","","","","","","","Access PtMP","AP has gone down(Sector is down)","Cable damaged by Fire","","","","","","","","","00:02","","","P0","","","","","","00.05","","",
"TT00709584","1000193","Z3F021","ST","Major Remote","Classic","Z3F021","Dual Generator","East","Ahsa","Huawei-PV","Rural","Ericsson","STC","","Fire Alarm","General","13-Jan-2026 10:34:00","30-Jan-2026 12:05:17","13-Jan-2026 10:34","30-Jan-2026 12:05","30-Jan-2026 11:28:34","Super Admin  - 9898976789(superadmin)","STC","","Field User super admin ","Parent","","9898976789","30-Jan-2026 11:28:35","","17 Day(s) 01:31:17","410","STC-No      ","No","-16 Day(s) 20:31:17      ","-16 Day(s) 20:31:17","Closed","Standard","Resolved","Critical","Assignment","","","","","Access-Module/Cable","GE/FE-Module/cable Faulty","Test","","Resolved","Alarm Detail From Bulk Upload","Problem Description From Bulk Upload","Incident","Manual","17 Day(s) 01:31:17","1","","","","","22.62052","53.72113","","","","value","value","value","Action Taken","Major Remote","","1","HSID1","","","","Degraded","13-Jan-2026 10:34","","","","","","","","","","","","","","","","Access PtMP","AP has gone down(Sector is down)","Cable damaged by Fire","","","","","","","","","00:36","","","P0","","","","","","409.52","","",
"TT00709806","1000135","ZBR153","ST,ZN,MB,BR(PG)","Metro,Unknown","Classic","ZBR153","Grid","Central","Qassim","Ericsson-PV","Rural","In-House","Bravo,Mobily,STC,Zain","","Acu Fault (Itc)","General","","","04-Feb-2026 12:07","","04-Feb-2026 12:07:35","Super Admin  - 9898976789(superadmin)","Bravo,Mobily,STC,Zain","","3rd Escalation ","Parent","","","04-Feb-2026 12:07:35","","00:38:01","1","STC-Yes      ","Yes","04:22:00      ","04:22:00","","Standard","Assign","Critical","Assignment","10","04-Feb-2026 12:09:17","30","04-Feb-2026 12:09:17","","","","","reassigned","","","Incident","Manual","00:38:01","1","","","","","26.02618","42.59135","","","","","","","","Metro","","1","","","","","Outage","04-Feb-2026 12:06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00708978","1014007","ZHA067","ST(PG)","Remote","Classic","ZHA067","Grid","Central","Hail","Ericsson-PV","Rural","In-House","STC","","Door Alarm(Critical)","General","12-Dec-2025 10:00:00","","12-Dec-2025 10:00","","12-Dec-2025 10:00:04","Super Admin  - 9898976789(superadmin)","STC","","Field User super admin ","Child","","9898976789","12-Dec-2025 10:00:04","","54 Day(s) 02:45:01","1299","STC-No      ","No","-53 Day(s) 19:45:00      ","-53 Day(s) 19:45:00","Open","Standard","Assign","Critical","Third Escalation","","","","","","","","","","","","Incident","Manual","54 Day(s) 02:45:01","1","","","","","26.126","41.3828","","","","","","","","Remote","TT00708977","1","","","","","Outage","11-Dec-2025 11:11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709231","1000061","ZRH326","ST(PG)","Metro","Classic","ZRH326","Grid","Central","Riyadh City","Ericsson-PV","Urban","Ericsson","STC","","Generator 2 Running","General","30-Dec-2025 00:00:00","","30-Dec-2025 00:00","","15-Jan-2026 10:34:08","Super Admin  - 9898976789(superadmin)","STC","","Field User super admin ","Parent","","9898976789","15-Jan-2026 10:34:08","","36 Day(s) 12:45:01","877","STC-No      ","No","-34 Day(s) 12:45:00      ","-34 Day(s) 12:45:00","Open","Standard","Assign","Low","First Escalation","","","","","","","","","","Alarm Detail From Bulk Upload","Problem Description From Bulk Upload","Incident","Manual","36 Day(s) 12:45:01","1","","","","","24.83019","46.61076","","","","","","","","Metro","","1","HSID1","","","","No","30-Dec-2025 00:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P1","","","","","","","","",
"TT00709465","1000057","Udhailiyah-GOSP12","ST(PG)","Metro","Classic","ZWJ022","Grid","West","Tabuk","Ericsson-PV","SubUrban","Huawei","STC","","Stc Rtts","AC Meter","","","26-Aug-2025 04:15","29-Jan-2026 11:22","29-Jan-2026 11:08:00","RTTS","STC","","TWL_South super admin ","Parent","","9898976789","29-Jan-2026 11:10:40","","156 Day(s) 07:07:33","3751","-      ","","      ","","","Standard","Resolved","Critical","Assignment","","","","","Access-Module/Cable","GE/FE-Module/cable Faulty","asdasd","","asdasd","","","RTTS Ticket","Integration","00:00:00","0","","","","","26.26056","36.44891","","","","11","11","11","Action Taken","Metro","","1","","","RTTS908","Tawal Test Ticket_011","Degraded","26-AUG-2025 04:15:45","FTTH","","","1","1","11","1","1001","112","Service Desk","TWL_SREriE&M","","","","ZWJ022","Core Transport","Dispute With MPLS","Channel republished","","MOBILE","","","","","","","00:14","","","P0","Premises Access (RT)","","Resolution","0","11.9","3751.13","11-Sep-2024 14:32:06","",
"TT00709546","1000058","ZRI920","ST(PG)","Metro","Classic","ZRI920","Grid","Central","Riyadh City","Ericsson-PV","Urban","Ericsson","STC","","Fire Alarm","General","13-Jan-2026 10:34:00","","13-Jan-2026 10:34","","29-Jan-2026 16:17:28","Super Admin  - 9898976789(superadmin)","STC","","Field User super admin ","Parent","","9898976789","29-Jan-2026 16:17:29","","22 Day(s) 02:11:01","530","STC-No      ","No","-21 Day(s) 21:11:00      ","-21 Day(s) 21:11:00","Open","Standard","Assign","Critical","Assignment","","","","","","","","","","Alarm Detail From Bulk Upload","Problem Description From Bulk Upload","Incident","Manual","22 Day(s) 02:11:01","1","","","","","24.83845","46.78868","","","","","","","","Metro","","1","HSID1","","","","Degraded","13-Jan-2026 10:34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709588","1000135","ZBR153","ST,ZN,MB,BR(PG)","Unknown,Metro","Classic","ZBR153","Grid","Central","Qassim","Ericsson-PV","Rural","In-House","Bravo,Mobily,STC,Zain","","Acu Fault (Itc)","General","","","30-Jan-2026 12:01","","30-Jan-2026 12:01:46","Super Admin  - 9898976789(superadmin)","Bravo,Mobily,STC,Zain","","3rd Escalation ","Parent","","","30-Jan-2026 12:01:46","","5 Day(s) 00:44:01","121","STC-No      ","No","-4 Day(s) 19:44:00      ","-4 Day(s) 19:44:00","","Standard","Assign","Critical","Assignment","10","30-Jan-2026 12:03:16","30","30-Jan-2026 12:03:16","","","","","reassigned","","","Incident","Manual","5 Day(s) 00:44:01","1","","","","","26.02618","42.59135","","","","","","","","Metro","","1","","","","","Outage","30-Jan-2026 12:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709665","1000002","Udhailiyah-GOSP12","ST(PG)","Remote,Metro","Classic","ZRY336","Hybrid","Central","Riyadh City","Ericsson-PV","Urban","Ericsson","STC","","Stc Rtts","AC Meter","","","23-May-2023 14:21","","02-Feb-2026 15:31:04","RTTS","STC","","TWL_South ","Parent","","","02-Feb-2026 15:31:05","","987 Day(s) 22:24:00","23710","-      ","","      ","","","Standard","Referred","Low","Assignment","","","","","","","","","","","","RTTS Ticket","Integration","00:00:00","0","","","","","24.7202","46.6569","","","","","","","","Metro","","1","","","RTTS917","Tawal Test Ticket_011","Degraded","23-MAY-2023 14:21:11","FTTH","","","1","1","11","1","1001","112","Service Desk","TWL_SREriE&M","","","","ZRY336","","","","","MOBILE","","","","","","","","","","P1","","","","","","","11-Sep-2024 14:32:06","",
"TT00709210","1000060","ZRI108","ST(PG)","Metro","Classic","ZRI108","Hybrid","Central","Riyadh City","Ericsson-PV","Urban","Ericsson","STC","","Generator 1 Running","General","13-Jan-2026 14:34:00","","13-Jan-2026 14:34","","13-Jan-2026 14:37:24","Super Admin  - 9898976789(superadmin)","STC","","Field User super admin ","Parent","","9898976789","13-Jan-2026 14:37:24","","21 Day(s) 22:11:01","289","STC-No      ","No","-19 Day(s) 22:11:00      ","-19 Day(s) 22:11:00","Open","Standard","Assign","Medium","First Escalation","","","","","","","","","","Alarm Detail From Bulk Upload","Problem Description From Bulk Upload","Incident","Manual","21 Day(s) 22:11:01","1","","","","","24.75373","46.8731","","","","","","","","Metro","","1","HSID1","1","","","Outage","13-Jan-2026 14:34","","","","","","","","","","","","","","","","","","","","","","","","","","","","23-Jan-2026 12:12:50","","P1","","","","","","","","Severity changed from Low to Medium due to Parent-Child relationship  of TT00709218 as child. ",
"TT00709232","1000061","ZRH326","ST(PG)","Metro","Classic","ZRH326","Grid","Central","Riyadh City","Ericsson-PV","Urban","Ericsson","STC","","Generator 1 Running","General","30-Dec-2025 00:00:00","","30-Dec-2025 00:00","","15-Jan-2026 10:34:09","Super Admin  - 9898976789(superadmin)","STC","","Field User super admin ","Parent","","9898976789","15-Jan-2026 10:34:09","","36 Day(s) 12:45:01","877","STC-No      ","No","-34 Day(s) 12:45:00      ","-34 Day(s) 12:45:00","Open","Standard","Assign","Low","First Escalation","","","","","","","","","","Alarm Detail From Bulk Upload","Problem Description From Bulk Upload","Incident","Manual","36 Day(s) 12:45:01","1","","","","","24.83019","46.61076","","","","","","","","Metro","","1","HSID1","","","","Degraded","30-Dec-2025 00:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P1","","","","","","","","",
"TT00709384","1000905","ZJZ297","ST(PG)","Remote","Classic","ZJZ297","Grid","South","Jizan","Ericsson-PV","Rural","Huawei","STC","","Acu Fault (Itc)","General","","","23-Jan-2026 12:51","23-Jan-2026 17:28","23-Jan-2026 12:51:36","Super Admin  - 9898976789(superadmin)","STC","","3rd Escalation ","Parent","","","23-Jan-2026 12:51:36","","04:37:58","5","STC-Yes      ","Yes","02:22:02      ","02:22:02","","Standard","Resolved","Critical","Assignment","","","","","Access-Module/Cable","GE/FE-Module/cable Faulty","Test","","Resolved","","","Incident","Manual","04:37:58","1","","","","","17.41563","42.98187","","","","value","value","b","Action Taken","Remote","","1","","","","","Outage","23-Jan-2026 12:50","","","","","","","","","","","","","","","","Access PtMP","AP has gone down(Sector is down)","Cable damaged by Fire","","","","","","","","","00:37","","","P0","","","","","","04.63","","",
"TT00709390","1000058","ZRI920","ST(PG)","Metro","Classic","ZRI920","Grid","Central","Riyadh City","Ericsson-PV","Urban","Ericsson","STC","","Battery Discharge","General","23-Jan-2026 10:00:00","23-Jan-2026 10:30:00","23-Jan-2026 10:00","23-Jan-2026 10:30","23-Jan-2026 15:00:33","Super Admin  - 9898976789(superadmin)","STC","23-Jan-2026 15:04:12","Field User super admin ","Parent","","9898976789","23-Jan-2026 15:00:34","System","00:29:59","0","STC-No      ","","-00:22:00      ","","Closed","Standard","Closed","High","Assignment","","","","","Access-IT-Management","Aggregator HW issue","rca","","Remarks from bulk upload","Alarm Detail From Bulk Upload","Problem Description From Bulk Upload","Incident","Manual","00:29:59","1","","","","","24.83845","46.78868","","","","","","","","Metro","","1","HSID1","","","","Degraded","23-Jan-2026 10:00","","","","","","","","","","","","","","","","","","","","","","","","","","","00:02","","","P0","","0","","","","00.50","","",
"TT00708964","1000028","PBH010","ST(PG)","Metro","Classic","PBH010","Grid","South","Bahah","Ericsson-PV","Urban","Nokia","STC","","Door Alarm(Hajj)","General","11-Dec-2025 19:14:50","11-Dec-2025 19:27:30","11-Dec-2025 19:14","11-Dec-2025 19:27","11-Dec-2025 19:18:09","System","STC","12-Dec-2025 15:31:21","TWL-EM-SOUTH Elsaeed Fekry Mohammed","Parent","","543527480","11-Dec-2025 19:18:09","System","00:13:30","0","STC-Yes      ","Yes","04:46:30      ","04:46:30","Closed","Standard","Closed","Critical","Assignment","","","","","Access-Module/Cable","GE/FE-Module/cable Faulty","111","","11","Door Alarm(Hajj)","","Incident","Auto","00:13:30","1","","","","","20.02137","41.4589","","","","11","11","11","Action Taken","Metro","","1","","","","","No","","","","","","","","","","","","","","","","","Access PtMP","AP has gone down(Sector is down)","Cable damaged by Fire","","","","","","","","","00:14","","","P0","","00:09:17","","","","00.23","","",
"TT00709198","1000060","ZRI108","ST(PG)","Metro","Classic","ZRI108","Hybrid","Central","Riyadh City","Ericsson-PV","Urban","Ericsson","STC","","Ac Meter Not Responding","AC Meter","13-Jan-2026 14:34:00","","13-Jan-2026 14:34","","13-Jan-2026 14:35:29","Super Admin  - 9898976789(superadmin)","STC","","Field User super admin ","Parent","","9898976789","13-Jan-2026 14:35:29","","21 Day(s) 22:11:01","526","STC-No      ","No","-21 Day(s) 10:11:00      ","-21 Day(s) 10:11:00","Open","Standard","Assign","Medium","Third Escalation","","","","","","","","","","Alarm Detail From Bulk Upload","Problem Description From Bulk Upload","Incident","Manual","21 Day(s) 22:11:01","1","","","","","24.75373","46.8731","","","","","","","","Metro","","1","HSID1","","","","Degraded","13-Jan-2026 14:34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P1","","","","","","","","",
"TT00709264","1006190","ZBG010","ST(PG)","Remote","Golden","ZBG010","Grid","South","Asir","Nokia-PV","SubUrban","Ericsson","","","Door Alarm","General","03-Jul-2021 01:26:51","","03-Jul-2021 01:26","","21-Jan-2026 16:34:39","System","STC","","TWL-EM-SOUTH Hamada Sobhy Mohamed Habib","Parent","","537712218","21-Jan-2026 16:34:39","","1677 Day(s) 11:18:10","40259","STC-No      ","No","-1677 Day(s) 04:18:09      ","-1677 Day(s) 04:18:09","Closed","Standard","Assign","Critical","Third Escalation","","","","","","","","","","Door Alarm","","Incident","Auto","1677 Day(s) 11:18:10","1","","","","","18.95009","41.911741","","","","","","","","Remote","","1","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709348","1000905","ZJZ297","ST(PG)","Remote","Classic","ZJZ297","Grid","South","Jizan","Ericsson-PV","Rural","Huawei","STC","","Acu Fault (Itc)","General","","","22-Jan-2026 14:39","","22-Jan-2026 14:39:11","Super Admin  - 9898976789(superadmin)","STC","","3rd Escalation ","Parent","","","22-Jan-2026 14:39:12","","12 Day(s) 22:06:01","310","STC-No      ","No","-12 Day(s) 15:06:00      ","-12 Day(s) 15:06:00","","Standard","Assign","Critical","Third Escalation","","","","","","","","","","","","Incident","Manual","12 Day(s) 22:06:01","1","","","","","17.41563","42.98187","","","","","","","","Remote","","1","","","","","Outage","22-Jan-2026 14:37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709423","1000135","ZBR153","ST,ZN,MB,BR(PG)","Metro,Unknown","Classic","ZBR153","Grid","Central","Qassim","Ericsson-PV","Rural","In-House","Bravo,Mobily,STC,Zain","","Acu Fault (Itc)","General","","","26-Jan-2026 23:36","26-Jan-2026 23:37","26-Jan-2026 23:36:02","Super Admin  - 9898976789(superadmin)","Bravo,Mobily,STC,Zain","26-Jan-2026 23:43:40","3rd Escalation ","Parent","","","26-Jan-2026 23:36:04","Super Admin  - 9898976789(superadmin)","00:00:59","0","STC-Yes      ","Yes","04:59:00      ","04:59:00","","Standard","Closed","Critical","Assignment","","","","","Access-Module/Cable","GE/FE-Module/cable Faulty","Test","","Closed","","","Incident","Manual","00:00:59","1","","","","","26.02618","42.59135","","","","value","value","TicketValuevalue","Action Taken","Metro","","1","","","","","Outage","26-Jan-2026 23:34","","","","","","","","","","","","","","","","Access PtMP","AP has gone down(Sector is down)","Cable damaged by Fire","","","","","","","","","00:03","","","P0","","","","","","00.02","","",
"TT00709440","1000057","Udhailiyah-GOSP12","ST(PG)","Metro","Classic","ZWJ022","Grid","West","Tabuk","Ericsson-PV","SubUrban","Huawei","STC","","Stc Rtts","AC Meter","","","26-Aug-2025 04:15","","28-Jan-2026 12:27:23","RTTS","STC","","TWL_South ","Parent","","","28-Jan-2026 12:27:23","","162 Day(s) 08:30:01","3897","-      ","","      ","","","Standard","Referred","Critical","Assignment","","","","","","","","","","","","RTTS Ticket","Integration","00:00:00","0","","","","","26.26056","36.44891","","","","","","","","Metro","","1","","","RTTS905","Tawal Test Ticket_011","Degraded","26-AUG-2025 04:15:45","FTTH","","","1","1","11","1","1001","112","Service Desk","TWL_SREriE&M","","","","ZWJ022","","","","","MOBILE","","","","","","","","","","P0","","","","","","","11-Sep-2024 14:32:06","",
"TT00709605","1000136","Z79020","ST,ZN,MB,BR","Remote,Unknown","Classic","Z79020","Single Generator","West","Madinah","Nokia-PV","Rural","Ericsson","Bravo,Mobily,STC,Zain","","Acu Fault (Itc)","General","","","30-Jan-2026 12:11","","30-Jan-2026 12:11:47","Super Admin  - 9898976789(superadmin)","Bravo,Mobily,STC,Zain","","3rd Escalation ","Parent","","","30-Jan-2026 12:11:47","","5 Day(s) 00:34:01","121","STC-No      ","No","-4 Day(s) 17:34:00      ","-4 Day(s) 17:34:00","","Standard","Assign","Critical","Assignment","","","","","","","","","","","","Incident","Manual","5 Day(s) 00:34:01","1","","","","","23.8819","39.0237","","","","","","","","Remote","","1","","","","","Outage","30-Jan-2026 12:10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
